AtcoCode,CommonName,Latitude,Longitude,Easting,Northing
700000000034,Brook Centre,54.55259234,-6.02188591,328040,368942
700000000035,Sydenham Station,54.60933732,-5.87692858,337227,375531
700000000037,Inverary Drive,54.61039422,-5.87469092,337368,375653
700000000038,Juniper Park,54.55473938,-6.02626482,327750,369173
700000000039,Inverary Playing Fields,54.6097278,-5.87255854,337508,375583
700000000040,Donegall Avenue,54.58789846,-5.95037095,332552,373004
700000000041,Inverary Avenue,54.60882795,-5.87043842,337648,375487
700000000042,Donegall Avenue,54.58597211,-5.95175171,332469,372787
700000000043,Carolhill,54.60838452,-5.86872793,337760,375441
700000000044,Donegall Parade,54.5848374,-5.95425287,332311,372656
700000000045,Ashfield Boys,54.61005524,-5.86665923,337888,375631
700000000046,Aughnacloy Hillcrest,54.42071217,-6.98259096,266095,352938
700000000047,Ashfield Girls,54.61104971,-5.86547716,337961,375744
700000000048,Balmoral Hotel,54.56043034,-5.99859428,329522,369857
700000000049,Blanchflower Park,54.61300134,-5.8630374,338112,375966
700000000050,Garnock Hill,54.56286436,-6.00125805,329342,370123
700000000051,Tillysburn Park,54.61471583,-5.86192577,338178,376159
700000000052,Brooke Drive,54.56409864,-6.00418176,329149,370255
700000000053,Knocknagoney Road,54.61887735,-5.85743421,338454,376631
700000000054,Blacks Court,54.56434932,-6.00576208,329046,370280
700000000055,Knocknagoney Primary,54.61856257,-5.8548806,338620,376601
700000000056,Erris Grove,54.56575493,-6.00982189,328779,370429
700000000057,School Court,54.61819321,-5.85330532,338723,376563
700000000058,Ringford Park,54.56611294,-6.01028378,328748,370468
700000000059,School Court,54.61808753,-5.85241289,338781,376553
700000000060,Trenchard,54.56511081,-6.00835345,328876,370360
700000000061,Knocknagoney Primary,54.61873668,-5.85710098,338476,376616
700000000062,Brooke Park,54.56293465,-6.00116185,329348,370131
700000000063,Parklands,54.61896925,-5.85958151,338315,376637
700000000064,Balmoral Hotel,54.56081919,-5.9987453,329511,369900
700000000065,Tillysburn Junction,54.61839971,-5.86040103,338264,376572
700000000066,Oakhurst,54.55934822,-5.99727136,329611,369739
700000000067,Tillysburn Park,54.61387962,-5.86189222,338183,376066
700000000068,Sunnyhill Park,54.55328617,-6.00722947,328986,369046
700000000069,Templeton House,54.61297984,-5.86283728,338125,375964
700000000070,Sunnyhill Park,54.55334749,-6.00713373,328992,369053
700000000071,Ashfield Girls,54.61089547,-5.86539236,337967,375727
700000000072,Cloona,54.56252082,-6.01750899,328292,370055
700000000073,Ashfield Boys,54.60937357,-5.86723667,337853,375554
700000000074,Corrina Park,54.56015658,-6.01524285,328446,369796
700000000075,Carolhill,54.60845116,-5.86843035,337779,375449
700000000076,Corrina Park,54.56051812,-6.015921,328401,369835
700000000077,Inverary Avenue,54.6086329,-5.8700771,337672,375466
700000000078,Cloona,54.56216765,-6.0173406,328304,370016
700000000079,Inverleith Drive,54.60935486,-5.87178855,337559,375543
700000000080,Old Golf Course Park,54.55706471,-6.01080173,328743,369460
700000000081,Inverary Playing Fields,54.61007842,-5.87359285,337440,375620
700000000082,Cherry Road,54.55381549,-6.01428332,328528,369092
700000000083,Sydenham Station,54.60914389,-5.87717084,337212,375509
700000000084,Cherry Park,54.55358924,-6.01692212,328358,369062
700000000085,Station Road,54.6081625,-5.87551926,337322,375403
700000000086,Aspen Walk,54.55494744,-6.01920585,328206,369209
700000000087,Palmerston Park,54.60722595,-5.87437621,337399,375301
700000000088,St Lukes,54.55496322,-6.02181751,328037,369206
700000000089,Larkfield Road,54.60515627,-5.87727006,337219,375065
700000000090,St Lukes,54.55504579,-6.02192172,328030,369215
700000000091,Larkfield,54.60522631,-5.87972737,337060,375068
700000000092,Aspen Walk,54.55494364,-6.01897416,328221,369209
700000000093,Strandburn Drive,54.60379399,-5.88105548,336979,374906
700000000094,Cherry Park,54.55373466,-6.01702326,328351,369078
700000000095,Parkgate Avenue,54.60271532,-5.8820556,336918,374784
700000000096,Cherry Road,54.55441634,-6.01366672,328566,369160
700000000097,Glendale Court,54.60011668,-5.88451188,336768,374490
700000000098,Old Golf Course Park,54.55663565,-6.01038977,328771,369413
700000000099,Connsbrook Avenue,54.59902063,-5.88503298,336738,374367
700000000100,Credenhill,54.55799041,-6.01245719,328633,369560
700000000101,Holywood Arches (Holywood Road),54.59825032,-5.88671327,336632,374278
700000000102,Old Colin,54.56311969,-6.02115971,328054,370115
700000000103,Connswater,54.59743523,-5.89407502,336159,374173
700000000104,Laurelbank,54.56323848,-6.02678187,327690,370118
700000000105,Hunt Street,54.59823041,-5.89381732,336173,374262
700000000106,Pembroke Loop,54.56565501,-6.0267579,327684,370387
700000000107,Dee Street,54.59871847,-5.89759901,335927,374309
700000000108,Pembroke Manor,54.56758941,-6.02361825,327881,370608
700000000109,Templemore Ave [N'ards Road],54.59921699,-5.9014731,335675,374357
700000000110,Colinbrook Avenue,54.57036909,-6.02657653,327681,370912
700000000111,Tower Street,54.59948684,-5.90356388,335539,374383
700000000112,Springbank Close,54.56899199,-6.02808117,327588,370756
700000000113,Bryson Street,54.59985767,-5.90629947,335361,374419
700000000114,Springbank Drive,54.56795653,-6.02960016,327493,370638
700000000115,Short Strand (Newtownards Road),54.60019305,-5.90906788,335181,374451
700000000116,Pantridge Road,54.56411313,-6.02862594,327568,370212
700000000117,Bridge End,54.59981921,-5.91708788,334664,374394
700000000118,Laurelbank,54.56330678,-6.02656211,327704,370126
700000000119,Oxford Street,54.59891834,-5.92165263,334372,374285
700000000120,Old Colin,54.56336108,-6.02108617,328058,370142
700000000121,Waterfront,54.59748593,-5.92143158,334391,374126
700000000122,Brian's Well Close,54.5631565,-6.03443915,327195,370095
700000000123,Lanyon Place Station [Glider],54.59567665,-5.91810402,334612,373931
700000000124,Glenkeen,54.56105159,-6.03594732,327104,369858
700000000125,Short Strand (Albertbridge Road),54.59570602,-5.90886457,335209,373952
700000000126,Brian's Well Close,54.56345302,-6.03444034,327194,370128
700000000128,Glenwood,54.56059401,-6.02990889,327496,369818
700000000129,Templemore Avenue,54.59533183,-5.90281801,335601,373922
700000000130,Woodside,54.55630204,-6.02952841,327534,369341
700000000132,Bell Steel Road [Stewartstown Road],54.55772418,-6.02582691,327769,369506
700000000133,Avoniel,54.59643874,-5.89825809,335892,374054
700000000134,Donegall Square North,54.59729297,-5.93114394,333764,374086
700000000136,Upper Queen Street,54.59648266,-5.93315025,333637,373992
700000000137,Strandtown,54.59964193,-5.88254016,336897,374441
700000000138,Upper Queen Street,54.59611275,-5.93306067,333644,373951
700000000139,Strand Cinema,54.60045769,-5.87986691,337067,374537
700000000140,Grand Opera House,54.5956847,-5.93693535,333395,373896
700000000141,Park Avenue,54.60122001,-5.87824872,337169,374625
700000000143,St Marks,54.60333325,-5.87527555,337354,374866
700000000144,Recreation Centre,54.59528417,-5.9450793,332870,373836
700000000145,Clonaver,54.60493744,-5.87299416,337496,375049
700000000146,Roden Street,54.59519313,-5.94712641,332738,373822
700000000147,Tudor Dale,54.60693329,-5.8705064,337650,375276
700000000148,Servia Street,54.59505736,-5.94971733,332571,373802
700000000149,Glendhu Manor,54.61511774,-5.86026365,338284,376207
700000000151,Glenluce Drive,54.61480235,-5.85665756,338518,376179
700000000152,Royal Hospital (Grosvenor Road),54.59545896,-5.95327159,332340,373840
700000000153,Upper Garnerville Road,54.61479042,-5.85294265,338758,376185
700000000154,Colligan Street,54.59606076,-5.95591839,332167,373902
700000000155,Tudor Dale,54.60724639,-5.86991734,337687,375312
700000000156,Iris Street,54.59722923,-5.95807268,332024,374028
700000000157,Quarry Road,54.6124923,-5.85255282,338791,375930
700000000158,Blackstaff,54.59898365,-5.95981093,331906,374220
700000000159,Glenmillan,54.61056149,-5.85260807,338794,375715
700000000160,Millennium Way,54.59987828,-5.96064828,331849,374318
700000000161,Old Holywood Road (Kennelbridge),54.60918103,-5.85127215,338885,375564
700000000162,Elswick Street,54.60154056,-5.9633199,331671,374498
700000000163,Cairnburn Road,54.60791935,-5.85106001,338903,375424
700000000164,Pollard Street,54.60220019,-5.96514412,331551,374568
700000000165,Belmont Allotments,54.60611173,-5.85451401,338686,375216
700000000166,Springdale Gardens,54.60092698,-5.96904562,331303,374419
700000000167,CIYMS Grounds,54.60540567,-5.86030891,338314,375126
700000000168,Springfield Roundabout,54.59948107,-5.97176387,331132,374253
700000000169,Orchard Lane,54.60437767,-5.86365953,338101,375005
700000000170,Springfield,54.59933131,-5.97355096,331017,374233
700000000171,Circular Road,54.60612157,-5.87084287,337631,375185
700000000172,High Side,54.60138601,-5.97445482,330952,374460
700000000173,Station Road,54.60587376,-5.87156779,337585,375156
700000000174,High Gate,54.60391824,-5.97490171,330915,374741
700000000175,Clonaver,54.60438032,-5.87350301,337465,374986
700000000176,West Circular Crescent,54.60524224,-5.97455738,330933,374889
700000000177,St Marks,54.60291676,-5.87560678,337334,374819
700000000178,Ballygomartin Baptist Church,54.60722435,-5.97380886,330975,375111
700000000179,Park Avenue,54.60112835,-5.87814516,337176,374615
700000000180,Twaddell Avenue,54.61010345,-5.96761342,331366,375443
700000000181,Strandtown,54.59929557,-5.88328548,336850,374401
700000000182,Woodvale Parade,54.61187993,-5.96746295,331370,375641
700000000184,Woodvale Drive,54.61344737,-5.96503178,331522,375820
700000000186,Woodvale Drive,54.61281022,-5.9661472,331452,375747
700000000187,Avoniel,54.59625398,-5.89848425,335878,374033
700000000188,Woodvale Parade,54.61159955,-5.96735309,331378,375610
700000000189,Templemore Avenue,54.59530476,-5.90229329,335635,373920
700000000190,Lanyon Place [bus stop],54.5951714,-5.91693833,334689,373877
700000000191,Bretland House,54.62183964,-5.91385692,334800,376851
700000000192,School of Denistry,54.59345039,-5.9535116,332331,373616
700000000194,Rehabilitation Unit,54.59171449,-5.95712634,332103,373416
700000000195,Short Strand (Albertbridge Road),54.59541101,-5.90843095,335238,373920
700000000196,Hospital Stores,54.59038887,-5.95790441,332057,373267
700000000198,Hospital Stores,54.59056257,-5.95808138,332045,373286
700000000199,Lanyon Place Station [Glider],54.59560037,-5.916282,334730,373926
700000000200,Rehabilitation Unit,54.59157868,-5.95759731,332073,373400
700000000201,Sydenham Drive,54.60061913,-5.87780022,337200,374559
700000000202,Royal Maternity?Hospital,54.59323162,-5.95438905,332275,373590
700000000203,Ranfurly Drive,54.60025312,-5.87486339,337391,374524
700000000204,Institute of Pathology,54.59470328,-5.95162289,332449,373759
700000000205,Belmont Road,54.6001011,-5.87337016,337488,374510
700000000206,Institute of Pathology,54.59474529,-5.95145057,332460,373764
700000000207,Clonallon Gardens,54.59989003,-5.87158599,337604,374490
700000000208,Springfield Roundabout,54.59950292,-5.97199491,331117,374255
700000000209,Clonallon Court,54.59963567,-5.86938625,337747,374466
700000000210,Springvale Parade,54.60022445,-5.97055077,331208,374338
700000000211,Belmont Church Road,54.59965105,-5.8651606,338020,374476
700000000212,Belfast Met Springvale,54.60165845,-5.96873063,331321,374501
700000000213,Pine Lodge,54.60003612,-5.86305122,338155,374523
700000000214,Workman Avenue,54.6024263,-5.96576737,331510,374592
700000000215,Pirrie Road,54.60057652,-5.85855036,338444,374592
700000000216,Lanark Way,54.60149215,-5.96257947,331719,374494
700000000217,Old Holywood Road,54.60660444,-5.85139243,338886,375277
700000000218,Millennium Way,54.59983794,-5.96038722,331866,374314
700000000219,Campbell College,54.60118337,-5.85375182,338752,374669
700000000220,Blackstaff,54.59895281,-5.95958034,331921,374217
700000000221,Schomberg Avenue,54.60315508,-5.85245634,338829,374891
700000000222,Iris Street,54.59780106,-5.95841545,332000,374091
700000000223,Massey Avenue,54.60517001,-5.84803194,339108,375124
700000000224,Royal Hospital (Grosvenor Road),54.59567354,-5.95374051,332309,373863
700000000225,Netherleigh Mews,54.60435311,-5.84655826,339206,375036
700000000226,Gibson Street,54.59520223,-5.95031353,332532,373817
700000000227,Castlehill,54.60405259,-5.84431443,339352,375007
700000000228,Roden Street,54.59530578,-5.94794085,332685,373833
700000000229,Cloverhill Gardens,54.60359088,-5.84159937,339529,374961
700000000230,Cullingtree Road,54.59535667,-5.94617429,332799,373842
700000000231,Massey Avenue Gates,54.60246539,-5.8389505,339704,374841
700000000232,Stanley Street,54.59572582,-5.93882109,333273,373897
700000000233,Parliament Buildings,54.60341358,-5.83218318,340138,374960
700000000234,Great Victoria Street,54.59581039,-5.93640288,333429,373911
700000000235,Department of Health,54.60040968,-5.82751431,340450,374635
700000000236,Seal Road,54.62956152,-5.89797476,335800,377741
700000000237,Castle Buildings,54.59860381,-5.82852353,340391,374432
700000000238,Glengall Street,54.59505077,-5.93611636,333450,373827
700000000239,Stormont Sports Ground,54.5972079,-5.82884544,340375,374276
700000000240,Europa Bus Station,54.59491004,-5.93629369,333439,373811
700000000241,Dundonald House,54.59560647,-5.8272285,340485,374101
700000000242,West Circular Close,54.60760313,-5.97335665,331003,375154
700000000243,Craigantlet Buildings,54.59710686,-5.82772115,340448,374267
700000000244,Ballygomartin Baptist Church,54.60681087,-5.97379844,330977,375065
700000000245,Castle Buildings,54.59868737,-5.82867384,340381,374441
700000000246,West Circular Crescent,54.60577597,-5.9742368,330952,374949
700000000247,Department of Health,54.60043966,-5.82768295,340439,374638
700000000248,High Gate,54.60427242,-5.97459006,330934,374781
700000000249,Parliament Buildings,54.60322563,-5.83222413,340136,374939
700000000250,Springfield Parade,54.60249282,-5.97455462,330942,374583
700000000251,Massey Avenue Gates,54.60228931,-5.8386503,339724,374822
700000000252,High Side,54.60096736,-5.97413514,330974,374414
700000000253,Massey Avenue,54.60335087,-5.84124063,339553,374935
700000000254,Aughnacloy Hillcrest,54.42044051,-6.9823358,266112,352908
700000000255,Castlehill,54.60393892,-5.84449069,339341,374994
700000000256,Springmartin Road,54.59756367,-5.97637774,330840,374031
700000000257,Massey Green,54.60485308,-5.8494107,339020,375086
700000000258,Springfield Park,54.59752614,-5.98004704,330603,374020
700000000259,Old Holywood Road,54.604046,-5.85101647,338919,374993
700000000260,Divismore Park,54.59681158,-5.98353316,330380,373934
700000000261,Schomberg Avenue,54.60309032,-5.85235141,338836,374884
700000000262,Divismore Crescent,54.59476645,-5.98697648,330164,373700
700000000263,Campbell College,54.60185463,-5.85309744,338792,374745
700000000264,Mount Alverno Garage,54.59295617,-5.98995918,329977,373493
700000000265,Belmont Drive,54.60022138,-5.85980707,338364,374550
700000000266,Whiterock Business Park,54.59172883,-5.99125742,329897,373354
700000000267,Strathearn Court,54.59973967,-5.86407267,338090,374488
700000000268,Turf Lodge Shops,54.58968068,-5.99290538,329797,373123
700000000269,Belmont Primary School,54.59935977,-5.86647579,337936,374441
700000000270,Monagh Road,54.58661524,-5.99172569,329883,372784
700000000271,Belmont Park,54.59941532,-5.86860851,337798,374443
700000000272,Opp Aitnamona Crescent,54.58391428,-5.9913945,329913,372484
700000000273,Edenville Crescent,54.59993027,-5.87285289,337522,374492
700000000274,Glen Road,54.58209155,-5.98930313,330054,372285
700000000275,Sydenham Drive,54.60029032,-5.87647093,337287,374525
700000000276,Opp Fruithill Park/Kennedy Way,54.58126197,-5.98750327,330173,372196
700000000277,Shaftesbury Square,54.58916599,-5.93350537,333638,373177
700000000279,Botanic Avenue,54.58696631,-5.93254928,333707,372934
700000000280,Kennedy Way,54.57908282,-5.98397585,330408,371960
700000000281,College Green,54.5848358,-5.93196106,333752,372698
700000000282,Kennedy Way,54.57920699,-5.98441827,330379,371973
700000000283,Rugby Road,54.58476313,-5.92928847,333925,372695
700000000284,Fruithill Park,54.58109063,-5.98746531,330176,372177
700000000285,Dudley Street,54.58500991,-5.92690906,334078,372727
700000000286,Glen Road,54.58211106,-5.98993638,330013,372286
700000000287,University Avenue,54.58541341,-5.92371722,334283,372778
700000000288,Aitnamona Crescent,54.5838481,-5.99173808,329891,372476
700000000289,Agincourt Avenue,54.58409629,-5.92236102,334375,372634
700000000290,Monagh Road,54.58652597,-5.99176102,329881,372774
700000000291,Ormeau Park,54.58177983,-5.92141159,334444,372378
700000000292,Turf Lodge Shops,54.58999617,-5.99296722,329792,373158
700000000293,Candahar Street,54.58047251,-5.92062741,334499,372234
700000000294,Mount Alverno Garage,54.59287384,-5.99041195,329948,373483
700000000295,South Parade,54.57890639,-5.91942337,334582,372062
700000000296,New Barnsley Parade,54.59477083,-5.98723932,330147,373700
700000000297,Ulidia,54.57704162,-5.91809545,334674,371857
700000000298,New Barnsley Drive,54.59564233,-5.985618,330249,373800
700000000299,Ballynafeigh,54.57422146,-5.91607404,334814,371547
700000000300,Divismore Park,54.59664951,-5.98405182,330347,373915
700000000301,Bell Towers,54.57239283,-5.91476004,334905,371346
700000000302,Springfield Park,54.59764156,-5.97996396,330608,374033
700000000303,Rosetta St John's Church,54.56962798,-5.91386512,334972,371040
700000000304,Dunboyne Park,54.59835398,-5.97474464,330943,374122
700000000305,Hampton Park,54.56707946,-5.91353141,335002,370757
700000000306,John Paul II Primary School,54.59392591,-5.9872191,330151,373606
700000000307,Forestside,54.56476637,-5.90966031,335260,370507
700000000308,Whiterock Leisure Centre,54.5929239,-5.98477743,330312,373499
700000000309,Lisburn and Castlereagh Council,54.56519397,-5.90892716,335306,370556
700000000310,Ballymurphy Road,54.5918482,-5.98223121,330480,373384
700000000311,Forestside,54.56457814,-5.91124708,335158,370483
700000000312,Corrigan Park,54.59118398,-5.98065497,330584,373313
700000000313,Forster Green,54.56084061,-5.90918092,335304,370071
700000000314,St Maria Goretti Nursery Sch,54.59075955,-5.97676159,330837,373273
700000000315,Mount Oriel,54.5585757,-5.90914224,335314,369819
700000000316,Brittons Parade,54.59031488,-5.97381306,331029,373229
700000000317,Woodbreda,54.55405317,-5.90844617,335374,369317
700000000318,Whiterock Road,54.58924181,-5.97143735,331186,373114
700000000319,Beechill Park,54.55166526,-5.90856839,335374,369051
700000000320,Brittons Parade,54.59048284,-5.97525907,330935,373245
700000000321,Glenhugh Park,54.54884697,-5.90614688,335540,368742
700000000322,St Maria Goretti Nursery Sch,54.59075013,-5.97727263,330804,373271
700000000323,Knockbreda Cemetery,54.56290794,-5.91026564,335227,370299
700000000324,Corrigan Park,54.59095975,-5.98014002,330618,373289
700000000325,Gas Works,54.59142087,-5.92560862,334141,373443
700000000326,Ballymurphy Road,54.59158244,-5.98191944,330501,373355
700000000327,Portadown Train Station [bus stop],54.42423152,-6.44634848,300894,353965
700000000328,Whiterock Library,54.59342209,-5.98609896,330225,373552
700000000329,Shaftesbury Avenue,54.58707365,-5.92360181,334285,372963
700000000330,Finaghy Road North,54.569621,-5.99257693,329882,370891
700000000331,Hatfield Street,54.58573469,-5.9230666,334324,372815
700000000332,Finaghy Road North,54.56943298,-5.9926171,329880,370870
700000000333,Rosetta Knockbreda Road,54.57041211,-5.91192295,335095,371131
700000000334,Shaws Road [Stewartstown Road],54.57389835,-6.00074892,329340,371352
700000000335,Knock Eden,54.57135449,-5.90926122,335264,371241
700000000336,Rosgoill Park,54.57450273,-6.0030701,329188,371415
700000000337,Mount Merrion Park,54.57156462,-5.90530693,335519,371272
700000000338,Hillhead Cottages,54.57543446,-6.0045402,329090,371516
700000000339,Wynchurch,54.57154067,-5.90340599,335642,371273
700000000340,Lenadoon Avenue,54.57661018,-6.00937013,328774,371638
700000000341,Mount Merrion Rosetta Road,54.57097727,-5.90148637,335768,371214
700000000342,Lenadoon Avenue,54.57668751,-6.01024794,328717,371645
700000000343,Mount Merrion Rosetta Road,54.570757,-5.90121933,335786,371190
700000000344,Hillhead Cottages,54.57565324,-6.00473056,329077,371540
700000000345,Wynchurch,54.5714785,-5.90396592,335606,371265
700000000346,Shaws Road [Stewartstown Road],54.57406531,-6.00106552,329319,371370
700000000347,Knock Eden,54.57134985,-5.90847276,335315,371242
700000000348,St Michael's,54.57189588,-5.99484667,329728,371140
700000000349,Knockbreda Road,54.57029292,-5.91282598,335037,371116
700000000350,Bell Steel Road [Stewartstown Road],54.55701479,-6.02640225,327734,369426
700000000351,Glendale Park,54.55667208,-5.90817297,335383,369609
700000000352,Woodside,54.55644753,-6.03018612,327491,369356
700000000353,Cairnshill Court,54.54722688,-5.90391153,335690,368566
700000000354,Brian's Well Road,54.55916526,-6.03155468,327394,369656
700000000355,Finsbury,54.54931964,-5.90075929,335887,368805
700000000356,Glenwood,54.56041998,-6.03025741,327474,369798
700000000357,Cairnshill Park,54.55028832,-5.89859195,336024,368917
700000000358,Bell Steel Road,54.56238042,-6.02870955,327568,370019
700000000359,Malvern,54.55217903,-5.89571237,336204,369133
700000000360,Suffolk Library,54.56976664,-6.00790991,328890,370879
700000000361,Four Winds,54.55628108,-5.89237837,336406,369596
700000000362,Suffolk Library,54.56927324,-6.0106865,328712,370819
700000000363,Glendale,54.55805587,-5.90558219,335546,369768
700000000364,Woodbourne (Suffolk Road),54.56825086,-6.01353515,328531,370700
700000000365,Colby Park,54.55726876,-5.90319541,335703,369685
700000000366,Riverside Mews,54.56964549,-6.0147508,328448,370853
700000000367,Glenholm,54.55663756,-5.90047607,335881,369620
700000000368,Falcarragh,54.57092457,-6.01659073,328325,370992
700000000369,Four Winds Park,54.55621418,-5.89627751,336154,369581
700000000370,Donegal Celtic,54.57360983,-6.02145557,328002,371282
700000000371,Four Winds Park,54.55617816,-5.89678951,336121,369576
700000000372,Suffolk Heights,54.57452829,-6.0237773,327849,371380
700000000373,Glenholm,54.55658503,-5.90055606,335876,369614
700000000374,Suffolk Road Junction,54.57590163,-6.02369537,327850,371533
700000000375,Colby Park,54.55711789,-5.90278575,335730,369669
700000000376,Glencolin,54.57610703,-6.01977248,328103,371563
700000000377,Glendale,54.55775508,-5.90533479,335563,369735
700000000378,St Oliver Plunkett,54.57622422,-6.01760152,328243,371580
700000000379,Foresthill View,54.56250467,-5.90980697,335258,370255
700000000380,Shaws Road Junction,54.57648674,-6.01443364,328447,371615
700000000381,Malvern,54.55188172,-5.89566585,336208,369100
700000000382,Rosnareen,54.57849081,-6.00572099,329004,371854
700000000383,Cairnshill Park,54.55037031,-5.89813948,336053,368927
700000000384,Hamill Park,54.57906407,-6.00343475,329150,371922
700000000385,Finsbury,54.54911692,-5.90098609,335873,368782
700000000386,All Saints College,54.58034104,-5.9986082,329458,372073
700000000387,Beechill Park,54.55220746,-5.90926714,335327,369110
700000000388,Coolnasilla,54.58081467,-5.99573886,329642,372131
700000000389,Forster Green,54.56238039,-5.90885473,335320,370243
700000000390,Saint Theresas,54.58087679,-5.99081696,329960,372147
700000000391,Forestside,54.56500438,-5.90887501,335310,370535
700000000392,Gransha Shops,54.58302378,-5.98538998,330304,372396
700000000393,Forestside,54.56502661,-5.90912127,335294,370537
700000000394,Glen Parade,54.58382297,-5.98105009,330582,372493
700000000395,Forestside Upper Galwally,54.56504039,-5.90939889,335276,370538
700000000396,Millfield,54.59954012,-5.93751414,333345,374324
700000000397,Cairnshill Court,54.54712706,-5.90385483,335694,368555
700000000398,Divis Tower,54.60014157,-5.9427609,333004,374381
700000000399,Beechill Road,54.54788524,-5.90560883,335578,368636
700000000400,St Michael's,54.57175583,-5.99452878,329749,371125
700000000401,Glenhugh Park,54.54929835,-5.90678838,335497,368791
700000000402,McKinstry Road,54.54666863,-6.0283237,327642,368271
700000000403,Woodbreda,54.5541034,-5.90875276,335354,369322
700000000405,Mount Oriel,54.55867766,-5.90932254,335302,369830
700000000406,Lagmore Avenue,54.55141334,-6.02781657,327660,368800
700000000407,Breda Park,54.55987615,-5.90952403,335285,369963
700000000408,Lagmore grove,54.55296146,-6.02743271,327680,368973
700000000409,Hampton Park,54.56585449,-5.91283632,335051,370622
700000000410,Twinbrook Road,54.5551991,-6.02690732,327707,369223
700000000411,Annadale Avenue,54.56882031,-5.91392185,334971,370950
700000000413,Rosetta St John's Church,54.57052258,-5.91415964,334950,371139
700000000415,Ardmore Avenue,54.57337807,-5.91562219,334846,371454
700000000416,Colin Connect,54.5593844,-6.02350501,327914,369695
700000000417,Ballynafeigh,54.57457031,-5.91650475,334785,371585
700000000418,Upper Dunmurry Lane,54.56309731,-6.02034135,328107,370114
700000000419,Ulidia,54.57689958,-5.9181955,334668,371841
700000000420,Michael Ferguson Roundabout,54.56411913,-6.01964244,328149,370229
700000000421,South Parade,54.57841923,-5.91930899,334591,372008
700000000422,Colin Connect,54.55948644,-6.02370105,327901,369706
700000000423,Candahar Street,54.58080365,-5.92107459,334469,372270
700000000425,Agincourt Avenue,54.58386474,-5.92248109,334368,372608
700000000427,Hatfield Street,54.58573708,-5.92320571,334315,372815
700000000428,Twinbrook Road,54.55550576,-6.02642876,327737,369258
700000000429,McClure Street,54.5879202,-5.92423946,334241,373056
700000000430,Lagmore Avenue,54.5502542,-6.02781068,327664,368671
700000000431,Cromac Place,54.59080962,-5.92559327,334144,373375
700000000433,Gas Works,54.59168783,-5.92598186,334116,373472
700000000435,University Avenue,54.58525345,-5.92434415,334243,372759
700000000436,Glengoland,54.56550921,-6.01564765,328403,370391
700000000437,Dudley Street,54.58501462,-5.92613533,334128,372729
700000000438,Woodbourne (Andersonstown Road),54.56717915,-6.01228839,328615,370583
700000000439,Rugby Road,54.58466414,-5.92980399,333892,372683
700000000441,College Green,54.58537761,-5.93264522,333706,372757
700000000442,Lenadoon Avenue (Andersonstown Road),54.5698968,-6.00708398,328943,370895
700000000443,Botanic Avenue,54.5878569,-5.93313847,333666,373032
700000000445,Shaftesbury Square,54.58906988,-5.93366495,333628,373166
700000000446,St Genevieve's,54.57224647,-6.00082979,329340,371168
700000000447,Short Strand (Ravenhill Road),54.59524994,-5.91106976,335068,373897
700000000448,Shaw's Road,54.57327395,-5.99776378,329535,371288
700000000449,Shamrock Street,54.59288363,-5.91088144,335088,373634
700000000450,Slievegallion Drive,54.57332129,-5.99086397,329981,371306
